x y z m s sqe
0.05 0.01 9.96 33 14 3841
0.06 0.01 9.96 33 14 3842
0.07 0.01 9.96 33 14 3843
0.08 0.01 9.96 33 14 3844
0.09 0.01 9.96 33 14 3845
0.1 0.01 9.96 33 14 3846
0.11 0.02 9.96 33 15 3847
0.12 0.02 9.96 33 15 3848
0.13 0.02 9.96 33 15 3849
0.14 0.02 9.96 33 15 3850
0.16 0.02 9.96 33 15 3851
0.17 0.02 9.96 33 15 3852
0.18 0.02 9.96 33 15 3853
0.19 0.02 9.96 33 15 3854
0.2 0.02 9.96 33 15 3855
0.21 0.02 9.96 33 15 3856
0.22 0.02 9.96 33 15 3857
0.23 0.02 9.96 33 15 3858
0.25 0.02 9.96 33 15 3859
0.26 0.02 9.96 33 15 3860
0.27 0.02 9.96 33 15 3861
0.28 0.02 9.96 33 15 3862
0.29 0.02 9.96 33 15 3863
0.3 0.02 9.96 33 15 3864
0.31 0.02 9.96 33 15 3865
0.32 0.01 9.96 33 15 3866
0.33 0.01 9.96 33 15 3867
0.34 0.01 9.96 33 15 3868
0.35 0.01 9.96 33 15 3869
0.36 0.01 9.96 33 15 3870
0.37 0.01 9.96 33 15 3871
0.38 0.02 9.96 33 15 3872
0.39 0.02 9.96 33 15 3873
0.39 0.02 9.96 33 15 3874
0.4 0.02 9.96 33 15 3875
0.41 0.02 9.96 33 15 3876
0.42 0.02 9.96 33 16 3877
0.42 0.01 9.96 33 16 3878
0.43 0.01 9.96 33 16 3879
0.43 0.01 9.96 33 16 3880
0.44 0.01 9.96 33 16 3881
0.45 0.01 9.96 33 16 3882
0.45 0.01 9.96 33 16 3883
0.46 0.01 9.96 33 16 3884
0.47 0.01 9.96 33 16 3885
0.47 0.01 9.96 33 16 3886
0.48 0.01 9.96 33 16 3887
0.48 0.01 9.96 33 16 3888
0.48 0.01 9.96 33 16 3889
0.49 0.01 9.96 33 16 3890
0.49 0.01 9.96 33 16 3891
0.49 0.01 9.96 33 16 3892
0.5 0.01 9.96 33 16 3893
0.5 0.01 9.96 33 16 3894
0.5 0.01 9.96 33 16 3895
0.51 0 9.96 33 16 3896
0.51 0 9.96 33 16 3897
0.51 0 9.96 33 16 3898
0.51 -0 9.96 33 16 3899
0.52 -0 9.96 33 16 3900
0.52 -0 9.97 33 16 3901
0.52 -0.01 9.97 33 16 3902
0.52 -0.01 9.97 33 16 3903
0.52 -0.01 9.97 33 16 3904
0.53 -0.01 9.97 33 16 3905
0.53 -0.01 9.97 33 16 3906
0.53 -0.02 9.97 33 17 3907
0.54 -0.02 9.97 33 17 3908
0.54 -0.02 9.97 33 17 3909
0.54 -0.02 9.97 33 17 3910
0.55 -0.02 9.97 33 17 3911
0.55 -0.02 9.97 33 17 3912
0.55 -0.03 9.97 33 17 3913
0.55 -0.03 9.97 33 17 3914
0.56 -0.03 9.97 33 17 3915
0.56 -0.03 9.97 33 17 3916
0.57 -0.03 9.97 33 17 3917
0.57 -0.03 9.97 33 17 3918
0.57 -0.03 9.97 33 17 3919
0.58 -0.03 9.97 33 17 3920
0.58 -0.03 9.97 33 17 3921
0.59 -0.03 9.97 33 17 3922
0.59 -0.03 9.98 33 17 3923
0.6 -0.03 9.98 33 17 3924
0.6 -0.03 9.98 33 17 3925
0.61 -0.04 9.98 33 17 3926
0.61 -0.04 9.98 33 17 3927
0.62 -0.04 9.98 33 17 3928
0.63 -0.04 9.98 33 17 3929
0.63 -0.04 9.98 33 17 3930
0.64 -0.04 9.98 33 17 3931
0.65 -0.04 9.98 33 17 3932
0.66 -0.04 9.98 33 17 3933
0.67 -0.04 9.98 33 17 3934
0.68 -0.04 9.98 33 17 3935
0.68 -0.04 9.98 33 17 3936
0.69 -0.04 9.98 33 18 3937
0.7 -0.04 9.99 33 18 3938
0.71 -0.04 9.99 33 18 3939
0.72 -0.04 9.99 33 18 3940
0.73 -0.04 9.99 33 18 3941
0.74 -0.04 9.99 33 18 3942
0.75 -0.04 9.99 33 18 3943
0.76 -0.04 9.99 33 18 3944
0.77 -0.04 9.99 33 18 3945
0.78 -0.04 9.99 33 18 3946
0.79 -0.04 9.99 33 18 3947
0.8 -0.04 9.99 33 18 3948
0.81 -0.04 9.99 33 18 3949
0.82 -0.04 9.99 33 18 3950
0.83 -0.04 9.99 33 18 3951
0.84 -0.04 9.99 33 18 3952
0.85 -0.04 9.99 33 18 3953
0.87 -0.04 9.99 33 18 3954
0.88 -0.03 9.99 33 18 3955
0.89 -0.03 10 33 18 3956
0.9 -0.03 10 33 18 3957
0.91 -0.03 10 33 18 3958
0.92 -0.03 10 33 18 3959
0.94 -0.03 10 33 18 3960
0.95 -0.03 10 33 18 3961
0.96 -0.03 10 33 18 3962
0.97 -0.03 10 33 18 3963
0.99 -0.03 10 33 18 3964
1 -0.03 10 33 18 3965
1.01 -0.03 10 33 18 3966
1.02 -0.03 10 33 19 3967
1.04 -0.03 10 33 19 3968
1.05 -0.03 10 33 19 3969
1.06 -0.03 10 33 19 3970
1.07 -0.03 10 33 19 3971
1.09 -0.03 10 33 19 3972
1.1 -0.03 10 33 19 3973
1.11 -0.03 10 33 19 3974
1.13 -0.03 10 33 19 3975
1.14 -0.03 10 33 19 3976
1.15 -0.03 10 33 19 3977
1.16 -0.03 10 33 19 3978
1.18 -0.03 10 33 19 3979
1.19 -0.03 10 33 19 3980
1.2 -0.03 10 33 19 3981
1.21 -0.03 10 33 19 3982
1.23 -0.04 10 33 19 3983
1.24 -0.04 10 33 19 3984
1.26 -0.04 10 33 19 3985
1.27 -0.04 10 33 19 3986
1.29 -0.04 10 33 19 3987
1.3 -0.04 10 33 19 3988
1.32 -0.04 10 33 19 3989
1.33 -0.04 10 33 19 3990
1.34 -0.04 10 33 19 3991
1.36 -0.04 10 33 19 3992
1.37 -0.05 10 33 19 3993
1.39 -0.05 10 33 19 3994
1.4 -0.05 10 33 19 3995
1.42 -0.05 10 33 19 3996
1.43 -0.05 10 33 20 3997
1.45 -0.05 10 33 20 3998
1.46 -0.05 10 33 20 3999
1.48 -0.05 10 33 20 4000
1.5 -0.05 10 33 20 4001
1.51 -0.05 10 33 20 4002
1.53 -0.06 10 33 20 4003
1.54 -0.06 10 33 20 4004
1.56 -0.06 10 33 20 4005
1.57 -0.06 10 33 20 4006
1.59 -0.06 10 33 20 4007
1.61 -0.06 10 33 20 4008
1.62 -0.06 10 33 20 4009
1.64 -0.06 10 33 20 4010
1.66 -0.06 10 33 20 4011
1.67 -0.06 10 33 20 4012
1.69 -0.06 10 33 20 4013
1.71 -0.06 10 33 20 4014
1.72 -0.06 10 33 20 4015
1.74 -0.06 10 33 20 4016
1.76 -0.06 9.99 33 20 4017
1.77 -0.06 9.99 33 20 4018
1.79 -0.06 9.99 33 20 4019
1.8 -0.06 9.99 33 20 4020
1.82 -0.06 9.99 33 20 4021
1.84 -0.06 9.99 33 20 4022
1.85 -0.06 9.99 33 20 4023
1.87 -0.06 9.99 33 20 4024
1.89 -0.06 9.99 33 20 4025
1.9 -0.06 9.99 33 20 4026
1.92 -0.06 9.99 33 21 4027
1.94 -0.06 9.99 33 21 4028
1.95 -0.06 9.99 33 21 4029
1.97 -0.06 9.99 33 21 4030
1.99 -0.06 9.99 33 21 4031
2 -0.05 9.99 33 21 4032
2.02 -0.05 9.99 33 21 4033
2.03 -0.05 9.99 33 21 4034
2.05 -0.05 9.99 33 21 4035
2.07 -0.05 9.99 33 21 4036
2.09 -0.05 9.99 33 21 4037
2.1 -0.05 9.99 33 21 4038
2.12 -0.05 9.99 33 21 4039
2.13 -0.05 9.99 33 21 4040
2.15 -0.05 9.99 33 21 4041
2.16 -0.06 9.99 33 21 4042
2.18 -0.06 9.99 33 21 4043
2.2 -0.05 9.99 33 21 4044
2.21 -0.05 9.99 33 21 4045
2.23 -0.05 9.99 33 21 4046
2.25 -0.05 9.99 33 21 4047
2.26 -0.05 9.99 33 21 4048
2.28 -0.05 9.99 33 21 4049
2.3 -0.05 9.99 33 21 4050
2.31 -0.05 9.99 33 21 4051
2.33 -0.05 9.99 33 21 4052
2.34 -0.06 9.99 33 21 4053
2.35 -0.06 9.99 33 21 4054
2.37 -0.06 9.99 33 21 4055
2.39 -0.06 9.99 33 21 4056
2.4 -0.06 9.99 33 22 4057
2.42 -0.06 9.99 33 22 4058
2.43 -0.06 9.99 33 22 4059
2.45 -0.06 9.99 33 22 4060
